subject	timepoint	sample
XKA	580	XKA-580
XKA	694	XKA-694
XKB	1	XKB-001
XKB	8	XKB-008
XKB	15	XKB-015
XKB	22	XKB-022
XKB	23	XKB-023
XKB	24	XKB-024
XKB	25	XKB-025
XKB	26	XKB-026
XKB	27	XKB-027
XKB	28	XKB-028
XKB	29	XKB-029
XKB	30	XKB-030
XKB	31	XKB-031
XKB	32	XKB-032
XKB	33	XKB-033
XKB	34	XKB-034
XKB	35	XKB-035
XKB	36	XKB-036
XKB	37	XKB-037
XKB	38	XKB-038
XKB	39	XKB-039
XKB	40	XKB-040
XKB	43	XKB-043
XKB	50	XKB-050
XKB	58	XKB-058
XKB	64	XKB-064
XKB	142	XKB-142
