sample annotationSample totalSpecies speciesShared numSpeciesShared relAbundanceSpeciesShared hh1 hh2 type
XAD-003 XGA-001 30 FALSE 19 0.5221454283076 XA XG diffHousehold
XAD-003 XGA-001 30 TRUE 11 0.46896794879212 XA XG diffHousehold
XAD-003 XGB-001 30 FALSE 24 0.40949486672913 XA XG diffHousehold
XAD-003 XGB-001 30 TRUE 6 0.58161851037059 XA XG diffHousehold
XAD-003 XGC-001 30 FALSE 18 0.35752201877113 XA XG diffHousehold
XAD-003 XGC-001 30 TRUE 12 0.63359135832859 XA XG diffHousehold
XAD-003 XHA-003 30 FALSE 21 0.3993694697144 XA XH diffHousehold
XAD-003 XHA-003 30 TRUE 9 0.59174390738532 XA XH diffHousehold
XAD-003 XHB-001 30 FALSE 23 0.50627340590807 XA XH diffHousehold
XAD-003 XHB-001 30 TRUE 7 0.48483997119165 XA XH diffHousehold
XAD-003 XHC-001 30 FALSE 21 0.41022067503784 XA XH diffHousehold
XAD-003 XHC-001 30 TRUE 9 0.58089270206188 XA XH diffHousehold
XAD-003 XIA-002 30 FALSE 19 0.46593220784863 XA XI diffHousehold
XAD-003 XIA-002 30 TRUE 11 0.52518116925109 XA XI diffHousehold
XAD-003 XIB-002 30 FALSE 21 0.49365971506004 XA XI diffHousehold
XAD-003 XIB-002 30 TRUE 9 0.49745366203968 XA XI diffHousehold
XAD-003 XIC-008 30 FALSE 19 0.40441714981434 XA XI diffHousehold
XAD-003 XIC-008 30 TRUE 11 0.58669622728538 XA XI diffHousehold
XAD-003 XJA-001 30 FALSE 22 0.58502861842704 XA XJ diffHousehold
XAD-003 XJA-001 30 TRUE 8 0.40608475867268 XA XJ diffHousehold
XAD-003 XJB-001 30 FALSE 23 0.56673303519751 XA XJ diffHousehold
XAD-003 XJB-001 30 TRUE 7 0.42438034190221 XA XJ diffHousehold
XAD-003 XKA-001 30 FALSE 16 0.22758978916628 XA XK diffHousehold
XAD-003 XKA-001 30 TRUE 14 0.76352358793344 XA XK diffHousehold
XAD-003 XKB-001 30 FALSE 19 0.39749932256936 XA XK diffHousehold
XAD-003 XKB-001 30 TRUE 11 0.59361405453036 XA XK diffHousehold
XAD-003 XLA-001 30 FALSE 17 0.35119619896344 XA XL diffHousehold
XAD-003 XLA-001 30 TRUE 13 0.63991717813628 XA XL diffHousehold
XAD-003 XLB-001 30 FALSE 17 0.15232465238954 XA XL diffHousehold
XAD-003 XLB-001 30 TRUE 13 0.83878872471018 XA XL diffHousehold
XAD-003 XMA-001 30 FALSE 18 0.38500141623611 XA XM diffHousehold
XAD-003 XMA-001 30 TRUE 12 0.60611196086361 XA XM diffHousehold
XAD-003 XMB-001 30 FALSE 20 0.40125637415589 XA XM diffHousehold
XAD-003 XMB-001 30 TRUE 10 0.58985700294383 XA XM diffHousehold
XAD-003 XNA-001 30 FALSE 18 0.37070998885753 XA XN diffHousehold
XAD-003 XNA-001 30 TRUE 12 0.62040338824219 XA XN diffHousehold
XAD-003 XNB-001 30 FALSE 21 0.48390799149244 XA XN diffHousehold
XAD-003 XNB-001 30 TRUE 9 0.50720538560728 XA XN diffHousehold
XAD-003 XOA-001 30 FALSE 22 0.5556410789527 XA XO diffHousehold
XAD-003 XOA-001 30 TRUE 8 0.43547229814702 XA XO diffHousehold
XAD-003 XOB-001 30 FALSE 16 0.13162542224349 XA XO diffHousehold
XAD-003 XOB-001 30 TRUE 14 0.85948795485623 XA XO diffHousehold
XAD-003 XPA-002 30 FALSE 17 0.37449320003685 XA XP diffHousehold
XAD-003 XPA-002 30 TRUE 13 0.61662017706287 XA XP diffHousehold
XAD-003 XPB-008 30 FALSE 22 0.29226537117843 XA XP diffHousehold
XAD-003 XPB-008 30 TRUE 8 0.69884800592129 XA XP diffHousehold
XAD-003 XQA-001 30 FALSE 15 0.07579218159243 XA XQ diffHousehold
XAD-003 XQA-001 30 TRUE 15 0.91532119550729 XA XQ diffHousehold
XAD-003 XQB-001 30 FALSE 18 0.34325803836463 XA XQ diffHousehold
XAD-003 XQB-001 30 TRUE 12 0.64785533873509 XA XQ diffHousehold
XAD-003 XRA-001 30 FALSE 16 0.36214419052713 XA XR diffHousehold
XAD-003 XRA-001 30 TRUE 14 0.62896918657259 XA XR diffHousehold
XAD-003 XRB-002 30 FALSE 19 0.3495884613661 XA XR diffHousehold
XAD-003 XRB-002 30 TRUE 11 0.64152491573362 XA XR diffHousehold
XAD-003 XSA-001 30 FALSE 20 0.24471348595653 XA XS diffHousehold
XAD-003 XSA-001 30 TRUE 10 0.74639989114319 XA XS diffHousehold
XAD-003 XSB-001 30 FALSE 17 0.14858004819054 XA XS diffHousehold
XAD-003 XSB-001 30 TRUE 13 0.84253332890918 XA XS diffHousehold
XAD-003 XTA-001 30 FALSE 19 0.38535446638961 XA XT diffHousehold
XAD-003 XTA-001 30 TRUE 11 0.60575891071011 XA XT diffHousehold
XAD-003 XTB-001 30 FALSE 19 0.26413680185449 XA XT diffHousehold
XAD-003 XTB-001 30 TRUE 11 0.72697657524523 XA XT diffHousehold
XAD-003 XUA-001 30 FALSE 18 0.35400485178514 XA XU diffHousehold
XAD-003 XUA-001 30 TRUE 12 0.63710852531458 XA XU diffHousehold
XAD-003 XUB-001 30 FALSE 18 0.36362623205636 XA XU diffHousehold
XAD-003 XUB-001 30 TRUE 12 0.62748714504336 XA XU diffHousehold
XAD-003 XVA-001 30 FALSE 20 0.45465071652791 XA XV diffHousehold
XAD-003 XVA-001 30 TRUE 10 0.53646266057181 XA XV diffHousehold
XAD-003 XVB-001 30 FALSE 17 0.11670765889024 XA XV diffHousehold
XAD-003 XVB-001 30 TRUE 13 0.87440571820948 XA XV diffHousehold
XBA-001 XAA-002 34 FALSE 13 0.25630840820501 XB XA diffHousehold
XBA-001 XAA-002 34 TRUE 21 0.7311879475203 XB XA diffHousehold
XBA-001 XAC-002 34 FALSE 13 0.06201222818385 XB XA diffHousehold
XBA-001 XAC-002 34 TRUE 21 0.92548412754146 XB XA diffHousehold
XBA-001 XAD-003 34 FALSE 24 0.47756350637363 XB XA diffHousehold
XBA-001 XAD-003 34 TRUE 10 0.50993284935168 XB XA diffHousehold
XBA-001 XBA-001 34 TRUE 34 0.98749635572531 XB XB sameSubject
XBA-001 XBB-001 34 FALSE 9 0.07870415638637 XB XB sameHousehold
XBA-001 XBB-001 34 TRUE 25 0.90879219933894 XB XB sameHousehold
XBA-001 XCA-001 34 FALSE 12 0.05623981968711 XB XC diffHousehold
XBA-001 XCA-001 34 TRUE 22 0.9312565360382 XB XC diffHousehold
XBA-001 XCB-001 34 FALSE 15 0.31623696585782 XB XC diffHousehold
XBA-001 XCB-001 34 TRUE 19 0.67125938986749 XB XC diffHousehold
XBA-001 XDA-001 34 FALSE 16 0.24142105617687 XB XD diffHousehold
XBA-001 XDA-001 34 TRUE 18 0.74607529954844 XB XD diffHousehold
XBA-001 XDB-001 34 FALSE 11 0.09481834962453 XB XD diffHousehold
XBA-001 XDB-001 34 TRUE 23 0.89267800610078 XB XD diffHousehold
XBA-001 XEA-001 34 FALSE 14 0.22910538813686 XB XE diffHousehold
XBA-001 XEA-001 34 TRUE 20 0.75839096758845 XB XE diffHousehold
XBA-001 XEB-001 34 FALSE 11 0.14605888505949 XB XE diffHousehold
XBA-001 XEB-001 34 TRUE 23 0.84143747066582 XB XE diffHousehold
XBA-001 XFA-001 34 FALSE 9 0.15447876055496 XB XF diffHousehold
XBA-001 XFA-001 34 TRUE 25 0.83301759517035 XB XF diffHousehold
XBA-001 XFB-001 34 FALSE 9 0.16001470236726 XB XF diffHousehold
XBA-001 XFB-001 34 TRUE 25 0.82748165335805 XB XF diffHousehold
XBA-001 XGA-001 34 FALSE 14 0.20801676845485 XB XG diffHousehold
XBA-001 XGA-001 34 TRUE 20 0.77947958727046 XB XG diffHousehold
XBA-001 XGB-001 34 FALSE 22 0.58605064909817 XB XG diffHousehold
XBA-001 XGB-001 34 TRUE 12 0.40144570662714 XB XG diffHousehold
XBA-001 XGC-001 34 FALSE 15 0.19110611660284 XB XG diffHousehold
XBA-001 XGC-001 34 TRUE 19 0.79639023912247 XB XG diffHousehold
XBA-001 XHA-003 34 FALSE 18 0.22800295207804 XB XH diffHousehold
XBA-001 XHA-003 34 TRUE 16 0.75949340364727 XB XH diffHousehold
XBA-001 XHB-001 34 FALSE 17 0.26763112965102 XB XH diffHousehold
XBA-001 XHB-001 34 TRUE 17 0.71986522607429 XB XH diffHousehold
XBA-001 XHC-001 34 FALSE 10 0.18502929222962 XB XH diffHousehold
XBA-001 XHC-001 34 TRUE 24 0.80246706349569 XB XH diffHousehold
XBA-001 XIA-002 34 FALSE 16 0.28084308134166 XB XI diffHousehold
XBA-001 XIA-002 34 TRUE 18 0.70665327438365 XB XI diffHousehold
XBA-001 XIB-002 34 FALSE 20 0.29043073212234 XB XI diffHousehold
XBA-001 XIB-002 34 TRUE 14 0.69706562360297 XB XI diffHousehold
XBA-001 XIC-008 34 FALSE 17 0.44340350370727 XB XI diffHousehold
XBA-001 XIC-008 34 TRUE 17 0.54409285201804 XB XI diffHousehold
XBA-001 XJA-001 34 FALSE 20 0.3026588454683 XB XJ diffHousehold
XBA-001 XJA-001 34 TRUE 14 0.68483751025701 XB XJ diffHousehold
XBA-001 XJB-001 34 FALSE 22 0.51633769047315 XB XJ diffHousehold
XBA-001 XJB-001 34 TRUE 12 0.47115866525216 XB XJ diffHousehold
XBA-001 XKA-001 34 FALSE 23 0.61802202238171 XB XK diffHousehold
XBA-001 XKA-001 34 TRUE 11 0.3694743333436 XB XK diffHousehold
XBA-001 XKB-001 34 FALSE 19 0.42346509987603 XB XK diffHousehold
XBA-001 XKB-001 34 TRUE 15 0.56403125584928 XB XK diffHousehold
