species bait numPrivateSNPsTotal
Alistipes_onderdonkii_55464 XGA-025 484
Alistipes_onderdonkii_55464 XGA-026 471
Alistipes_onderdonkii_55464 XGA-027 463
Alistipes_onderdonkii_55464 XGA-028 513
Alistipes_onderdonkii_55464 XGA-029 408
Alistipes_onderdonkii_55464 XGA-030 446
Alistipes_onderdonkii_55464 XGA-031 432
Alistipes_onderdonkii_55464 XGA-032 433
Alistipes_onderdonkii_55464 XGA-036 411
Alistipes_onderdonkii_55464 XGA-037 468
Alistipes_onderdonkii_55464 XGA-038 490
Alistipes_onderdonkii_55464 XGA-039 455
Alistipes_onderdonkii_55464 XGA-040 492
Alistipes_onderdonkii_55464 XGA-044 428
Alistipes_onderdonkii_55464 XGA-050 430
Alistipes_onderdonkii_55464 XGA-057 458
Alistipes_onderdonkii_55464 XGA-064 395
Alistipes_onderdonkii_55464 XGA-252 421
Alistipes_onderdonkii_55464 XGA-364 475
Alistipes_onderdonkii_55464 XGA-428 453
Alistipes_onderdonkii_55464 XGB-001 413
Alistipes_onderdonkii_55464 XGB-029 426
Alistipes_onderdonkii_55464 XGB-036 417
Alistipes_onderdonkii_55464 XGB-064 400
Alistipes_onderdonkii_55464 XGB-252 475
Alistipes_onderdonkii_55464 XGB-365 512
Alistipes_onderdonkii_55464 XGB-428 480
Alistipes_onderdonkii_55464 XGC-001 410
Alistipes_onderdonkii_55464 XGC-029 524
Alistipes_onderdonkii_55464 XGC-037 547
Alistipes_onderdonkii_55464 XGC-064 557
Alistipes_onderdonkii_55464 XGC-252 474
Alistipes_onderdonkii_55464 XGC-364 532
Alistipes_onderdonkii_55464 XGC-428 546
Alistipes_onderdonkii_55464 XHA-003 904
Alistipes_onderdonkii_55464 XHA-029 945
Alistipes_onderdonkii_55464 XHA-036 910
Alistipes_onderdonkii_55464 XHA-064 966
Alistipes_onderdonkii_55464 XHB-036 510
Alistipes_onderdonkii_55464 XIB-259 1501
Alistipes_onderdonkii_55464 XIB-277 1310
Alistipes_onderdonkii_55464 XIC-029 354
Alistipes_onderdonkii_55464 XIC-064 394
Alistipes_onderdonkii_55464 XIC-198 379
Alistipes_onderdonkii_55464 XLA-026 561
Alistipes_onderdonkii_55464 XLA-029 491
Alistipes_onderdonkii_55464 XLA-043 624
Alistipes_onderdonkii_55464 XLA-064 470
Alistipes_onderdonkii_55464 XLA-148 453
Alistipes_onderdonkii_55464 XLB-029 441
Alistipes_onderdonkii_55464 XLB-036 515
Alistipes_onderdonkii_55464 XOB-001 838
Alistipes_onderdonkii_55464 XOB-028 785
Alistipes_onderdonkii_55464 XOB-036 845
Alistipes_onderdonkii_55464 XOB-064 842
Alistipes_onderdonkii_55464 XOB-129 827
Alistipes_onderdonkii_55464 XPA-002 214
Alistipes_onderdonkii_55464 XPA-029 209
Alistipes_onderdonkii_55464 XPA-030 340
Alistipes_onderdonkii_55464 XPA-031 443
Alistipes_onderdonkii_55464 XPA-036 218
Alistipes_onderdonkii_55464 XQA-001 558
Alistipes_onderdonkii_55464 XQA-022 643
Alistipes_onderdonkii_55464 XQA-029 516
Alistipes_onderdonkii_55464 XQA-040 604
Alistipes_onderdonkii_55464 XQA-043 662
Alistipes_onderdonkii_55464 XQA-050 676
Alistipes_onderdonkii_55464 XQA-064 585
Alistipes_onderdonkii_55464 XQA-133 546
Alistipes_onderdonkii_55464 XQA-244 709
Alistipes_onderdonkii_55464 XQA-532 584
Alistipes_onderdonkii_55464 XUA-001 204
Alistipes_onderdonkii_55464 XUA-008 397
Alistipes_onderdonkii_55464 XUA-015 287
Alistipes_onderdonkii_55464 XUA-022 307
Alistipes_onderdonkii_55464 XUA-039 299
Alistipes_onderdonkii_55464 XUA-040 315
Alistipes_onderdonkii_55464 XUA-043 438
Alistipes_onderdonkii_55464 XUA-050 444
Alistipes_onderdonkii_55464 XUA-057 399
Alistipes_onderdonkii_55464 XUA-064 210
Alistipes_onderdonkii_55464 XUA-129 206
Alistipes_onderdonkii_55464 XUA-221 349
Alistipes_onderdonkii_55464 XUA-318 273
Alistipes_onderdonkii_55464 XUA-397 317
Alistipes_onderdonkii_55464 XUA-507 263
Alistipes_onderdonkii_55464 XUA-623 322
Alistipes_onderdonkii_55464 XVB-001 3284
Alistipes_onderdonkii_55464 XVB-027 2812
Alistipes_onderdonkii_55464 XVB-036 3349
Alistipes_onderdonkii_55464 XVB-064 3375
Alistipes_onderdonkii_55464 XVB-129 3372
Alistipes_onderdonkii_55464 YAD-064 1933
Alistipes_onderdonkii_55464 YBA-004 281
Alistipes_onderdonkii_55464 YBA-043 418
Alistipes_onderdonkii_55464 YBA-260 318
Alistipes_onderdonkii_55464 YBA-360 416
Alistipes_onderdonkii_55464 YBB-029 342
Alistipes_onderdonkii_55464 YBB-050 294
Alistipes_onderdonkii_55464 YBB-260 242
Alistipes_onderdonkii_55464 YBB-435 314
Alistipes_onderdonkii_55464 YBC-001 1579
Alistipes_onderdonkii_55464 YBC-043 1374
Alistipes_onderdonkii_55464 YBC-260 1821
Alistipes_onderdonkii_55464 YBC-360 1559
Alistipes_onderdonkii_55464 YBC-435 1766
Alistipes_onderdonkii_55464 YDB-006 683
Alistipes_onderdonkii_55464 YEB-001 358
Alistipes_onderdonkii_55464 YEB-002 392
Alistipes_onderdonkii_55464 YFC-064 649
Alistipes_onderdonkii_55464 ZAC-263 275
Alistipes_onderdonkii_55464 ZAC-326 267
Alistipes_onderdonkii_55464 ZCB-001 414
Alistipes_onderdonkii_55464 ZCB-064 605
Alistipes_onderdonkii_55464 ZCB-261 604
Alistipes_onderdonkii_55464 ZCB-323 528
Alistipes_onderdonkii_55464 ZDA-001 234
Alistipes_onderdonkii_55464 ZDA-065 286
Alistipes_onderdonkii_55464 ZDA-260 338
Alistipes_onderdonkii_55464 ZDA-324 232
Alistipes_onderdonkii_55464 ZDA-413 203
Alistipes_onderdonkii_55464 ZDA-503 366
Alistipes_onderdonkii_55464 ZDA-598 291
Alistipes_onderdonkii_55464 ZDB-001 3142
Alistipes_onderdonkii_55464 ZDB-064 3092
Alistipes_onderdonkii_55464 ZDB-261 3301
Alistipes_onderdonkii_55464 ZDB-324 3235
Alistipes_onderdonkii_55464 ZDB-411 3077
Alistipes_onderdonkii_55464 ZDB-596 3322
Alistipes_onderdonkii_55464 ZEA-001 275
Alistipes_onderdonkii_55464 ZEA-064 411
Alistipes_onderdonkii_55464 ZEC-001 501
Alistipes_onderdonkii_55464 ZEC-064 539
Alistipes_putredinis_61533 XAA-623 144
Alistipes_putredinis_61533 XAA-652 167
Alistipes_putredinis_61533 XBB-001 155
Alistipes_putredinis_61533 XBB-029 146
Alistipes_putredinis_61533 XBB-034 141
Alistipes_putredinis_61533 XBB-036 140
Alistipes_putredinis_61533 XBB-064 160
Alistipes_putredinis_61533 XBB-106 143
Alistipes_putredinis_61533 XBB-136 166
Alistipes_putredinis_61533 XBB-170 158
Alistipes_putredinis_61533 XBB-204 151
Alistipes_putredinis_61533 XBB-240 134
Alistipes_putredinis_61533 XBB-274 141
Alistipes_putredinis_61533 XBB-303 137
Alistipes_putredinis_61533 XBB-330 143
Alistipes_putredinis_61533 XBB-351 151
Alistipes_putredinis_61533 XBB-380 135
Alistipes_putredinis_61533 XBB-415 126
Alistipes_putredinis_61533 XBB-422 134
Alistipes_putredinis_61533 XBB-430 140
Alistipes_putredinis_61533 XBB-436 140
Alistipes_putredinis_61533 XBB-443 149
Alistipes_putredinis_61533 XBB-456 131
Alistipes_putredinis_61533 XBB-464 146
Alistipes_putredinis_61533 XBB-478 130
Alistipes_putredinis_61533 XBB-493 144
Alistipes_putredinis_61533 XBB-499 147
Alistipes_putredinis_61533 XBB-541 150
Alistipes_putredinis_61533 XBB-555 136
Alistipes_putredinis_61533 XBB-569 147
Alistipes_putredinis_61533 XBB-582 156
Alistipes_putredinis_61533 XBB-588 137
Alistipes_putredinis_61533 XBB-597 138
Alistipes_putredinis_61533 XBB-617 137
Alistipes_putredinis_61533 XBB-625 135
Alistipes_putredinis_61533 XBB-641 136
Alistipes_putredinis_61533 XBB-656 128
Alistipes_putredinis_61533 XBB-679 135
Alistipes_putredinis_61533 XBB-701 140
Alistipes_putredinis_61533 XBB-717 133
Alistipes_putredinis_61533 XBB-725 138
Alistipes_putredinis_61533 XBB-737 144
Alistipes_putredinis_61533 XBB-745 129
Alistipes_putredinis_61533 XBB-754 119
Alistipes_putredinis_61533 XBB-773 142
Alistipes_putredinis_61533 XBB-779 133
Alistipes_putredinis_61533 XCA-001 163
Alistipes_putredinis_61533 XCA-008 149
Alistipes_putredinis_61533 XCA-015 153
Alistipes_putredinis_61533 XCA-022 140
Alistipes_putredinis_61533 XCA-023 145
Alistipes_putredinis_61533 XCA-024 117
Alistipes_putredinis_61533 XCA-025 145
Alistipes_putredinis_61533 XCA-026 144
Alistipes_putredinis_61533 XCA-027 163
Alistipes_putredinis_61533 XCA-029 160
Alistipes_putredinis_61533 XCA-030 151
Alistipes_putredinis_61533 XCA-031 145
Alistipes_putredinis_61533 XCB-001 186
Alistipes_putredinis_61533 XCB-029 193
Alistipes_putredinis_61533 XCB-036 151
Alistipes_putredinis_61533 XCB-064 173
Alistipes_putredinis_61533 XCB-258 185
Alistipes_putredinis_61533 XCB-310 179
Alistipes_putredinis_61533 XCB-410 159
Alistipes_putredinis_61533 XCB-499 300
Alistipes_putredinis_61533 XCB-604 253
Alistipes_putredinis_61533 XCB-695 196
Alistipes_putredinis_61533 XCB-804 228
Alistipes_putredinis_61533 XDA-001 99
Alistipes_putredinis_61533 XDA-008 106
Alistipes_putredinis_61533 XDA-022 97
Alistipes_putredinis_61533 XDA-023 95
Alistipes_putredinis_61533 XDA-024 106
Alistipes_putredinis_61533 XDA-025 98
Alistipes_putredinis_61533 XDA-026 98
Alistipes_putredinis_61533 XDA-027 108
Alistipes_putredinis_61533 XDA-028 102
Alistipes_putredinis_61533 XDA-029 102
Alistipes_putredinis_61533 XDA-030 91
Alistipes_putredinis_61533 XDA-706 130
Alistipes_putredinis_61533 XDA-816 186
Alistipes_putredinis_61533 XDB-001 166
Alistipes_putredinis_61533 XDB-029 189
Alistipes_putredinis_61533 XDB-036 190
Alistipes_putredinis_61533 XDB-064 185
Alistipes_putredinis_61533 XDB-267 156
Alistipes_putredinis_61533 XDB-330 192
Alistipes_putredinis_61533 XDB-417 169
Alistipes_putredinis_61533 XDB-458 176
Alistipes_putredinis_61533 XDB-512 171
Alistipes_putredinis_61533 XDB-553 168
Alistipes_putredinis_61533 XDB-591 178
Alistipes_putredinis_61533 XDB-706 187
Alistipes_putredinis_61533 XDB-816 178
Alistipes_putredinis_61533 XEA-001 107
Alistipes_putredinis_61533 XEB-001 124
Alistipes_putredinis_61533 XEB-029 157
Alistipes_putredinis_61533 XEB-036 151
Alistipes_putredinis_61533 XEB-064 126
Alistipes_putredinis_61533 XFA-001 203
Alistipes_putredinis_61533 XFA-008 259
Alistipes_putredinis_61533 XFA-015 296
Alistipes_putredinis_61533 XFA-022 233
Alistipes_putredinis_61533 XFA-023 247
Alistipes_putredinis_61533 XFA-024 204
Alistipes_putredinis_61533 XFA-025 209
Alistipes_putredinis_61533 XFA-026 198
Alistipes_putredinis_61533 XFA-027 168
Alistipes_putredinis_61533 XFA-028 208
Alistipes_putredinis_61533 XFA-029 129
Alistipes_putredinis_61533 XFA-050 279
