sample1 sample2 value method subject timepoint
XIB-002 XIB-277 0.0480832270192333 jsd XIB 277
XIC-008 XIC-015 0.0422867510454511 jsd XIC 15
XIC-008 XIC-022 0.0406349979907759 jsd XIC 22
XIC-008 XIC-023 0.0696074599717076 jsd XIC 23
XIC-008 XIC-024 0.0595697716048667 jsd XIC 24
XIC-008 XIC-025 0.0542904088929045 jsd XIC 25
XIC-008 XIC-026 0.0872762892722184 jsd XIC 26
XIC-008 XIC-027 0.079968538615901 jsd XIC 27
XIC-008 XIC-028 0.101409188893635 jsd XIC 28
XIC-008 XIC-029 0.0521212744016704 jsd XIC 29
XIC-008 XIC-030 0.0546455541190158 jsd XIC 30
XIC-008 XIC-031 0.0606010496256976 jsd XIC 31
XIC-008 XIC-032 0.116383304816438 jsd XIC 32
XIC-008 XIC-033 0.0648786624134799 jsd XIC 33
XIC-008 XIC-034 0.0634243628859509 jsd XIC 34
XIC-008 XIC-035 0.0798477020490424 jsd XIC 35
XIC-008 XIC-036 0.105236840808766 jsd XIC 36
XIC-008 XIC-039 0.0547564515438175 jsd XIC 39
XIC-008 XIC-043 0.0884401745670747 jsd XIC 43
XIC-008 XIC-050 0.0383176339858452 jsd XIC 50
XIC-008 XIC-057 0.0358541193487242 jsd XIC 57
XIC-008 XIC-064 0.057059596472893 jsd XIC 64
XIC-008 XIC-198 0.101415019158597 jsd XIC 198
XJA-001 XJA-008 0.0216405126532828 jsd XJA 8
XJA-001 XJA-015 0.0567067244437763 jsd XJA 15
XJA-001 XJA-022 0.0289489889317282 jsd XJA 22
XJA-001 XJA-023 0.0319588297216493 jsd XJA 23
XJA-001 XJA-024 0.0256358514737022 jsd XJA 24
XJA-001 XJA-025 0.067588073668165 jsd XJA 25
