species subject1 subject2 sharedStrainFishing
Eubacterium_ventriosum_61474 XAA XAD FALSE
Eubacterium_ventriosum_61474 XFA XFB FALSE
Eubacterium_ventriosum_61474 XGA XGC FALSE
Eubacterium_ventriosum_61474 YEB YEC FALSE
Faecalibacterium_cf_62236 XHA XHC FALSE
Faecalibacterium_cf_62236 XHB XHC TRUE
Faecalibacterium_cf_62236 XLA XLB TRUE
Faecalibacterium_cf_62236 XOA XOB FALSE
Faecalibacterium_cf_62236 XQA XQB FALSE
Faecalibacterium_cf_62236 XRA XRB FALSE
Faecalibacterium_cf_62236 XSA XSB FALSE
Faecalibacterium_cf_62236 YEA YEB FALSE
Faecalibacterium_cf_62236 YEA YEC FALSE
Faecalibacterium_prausnitzii_57453 XAA XAC FALSE
Faecalibacterium_prausnitzii_57453 XCA XCB FALSE
Faecalibacterium_prausnitzii_57453 XEA XEB FALSE
Faecalibacterium_prausnitzii_57453 XFA XFB FALSE
Faecalibacterium_prausnitzii_57453 XGA XGC TRUE
Faecalibacterium_prausnitzii_57453 XGB XGC FALSE
Faecalibacterium_prausnitzii_57453 XIA XIC FALSE
Faecalibacterium_prausnitzii_57453 XIB XIC TRUE
Faecalibacterium_prausnitzii_57453 XKA XKB FALSE
Faecalibacterium_prausnitzii_57453 XMA XMB FALSE
Faecalibacterium_prausnitzii_57453 XSA XSB FALSE
Faecalibacterium_prausnitzii_57453 XUA XUB TRUE
Faecalibacterium_prausnitzii_57453 XVA XVB FALSE
Faecalibacterium_prausnitzii_57453 YAB YAC FALSE
Faecalibacterium_prausnitzii_57453 YAB YAD FALSE
Faecalibacterium_prausnitzii_57453 YEB YEC FALSE
Faecalibacterium_prausnitzii_57453 ZAA ZAB FALSE
Faecalibacterium_prausnitzii_57453 ZAA ZAC FALSE
Faecalibacterium_prausnitzii_57453 ZAB ZAC FALSE
Faecalibacterium_prausnitzii_57453 ZEA ZEB FALSE
Faecalibacterium_prausnitzii_57453 ZEB ZEC FALSE
Faecalibacterium_prausnitzii_61481 XCA XCB FALSE
Faecalibacterium_prausnitzii_61481 XEA XEB FALSE
Faecalibacterium_prausnitzii_61481 XFA XFB FALSE
Faecalibacterium_prausnitzii_61481 XGA XGC TRUE
Faecalibacterium_prausnitzii_61481 XHB XHC TRUE
Faecalibacterium_prausnitzii_61481 XNA XNB FALSE
Faecalibacterium_prausnitzii_61481 XQA XQB FALSE
Faecalibacterium_prausnitzii_61481 XRA XRB FALSE
Faecalibacterium_prausnitzii_61481 XSA XSB FALSE
Faecalibacterium_prausnitzii_61481 XVA XVB FALSE
Faecalibacterium_prausnitzii_61481 YAB YAC FALSE
Faecalibacterium_prausnitzii_61481 YAB YAD FALSE
Faecalibacterium_prausnitzii_61481 YAC YAD FALSE
Faecalibacterium_prausnitzii_61481 YBA YBB FALSE
Faecalibacterium_prausnitzii_61481 YBA YBC FALSE
Faecalibacterium_prausnitzii_61481 YBB YBC TRUE
Faecalibacterium_prausnitzii_61481 YEA YEB FALSE
Faecalibacterium_prausnitzii_61481 YEA YEC FALSE
Faecalibacterium_prausnitzii_61481 YEB YEC FALSE
Faecalibacterium_prausnitzii_61481 ZAA ZAC FALSE
Faecalibacterium_prausnitzii_61481 ZCA ZCB TRUE
Faecalibacterium_prausnitzii_61481 ZEA ZEB FALSE
Faecalibacterium_prausnitzii_61481 ZEA ZEC FALSE
Faecalibacterium_prausnitzii_61481 ZEB ZEC FALSE
Faecalibacterium_prausnitzii_62201 XAA XAD FALSE
Faecalibacterium_prausnitzii_62201 XAC XAD FALSE
Faecalibacterium_prausnitzii_62201 XBA XBB FALSE
Faecalibacterium_prausnitzii_62201 XHA XHC FALSE
Faecalibacterium_prausnitzii_62201 XHB XHC FALSE
Faecalibacterium_prausnitzii_62201 XOA XOB FALSE
Faecalibacterium_prausnitzii_62201 XPA XPB FALSE
Faecalibacterium_prausnitzii_62201 XQA XQB FALSE
Faecalibacterium_prausnitzii_62201 XUA XUB FALSE
Faecalibacterium_prausnitzii_62201 YAA YAB FALSE
Faecalibacterium_prausnitzii_62201 YAA YAC FALSE
Faecalibacterium_prausnitzii_62201 YAA YAD FALSE
Faecalibacterium_prausnitzii_62201 YAB YAD FALSE
Faecalibacterium_prausnitzii_62201 YAC YAD FALSE
Faecalibacterium_prausnitzii_62201 YBA YBC FALSE
Faecalibacterium_prausnitzii_62201 YEA YEB FALSE
Faecalibacterium_prausnitzii_62201 YEA YEC FALSE
Faecalibacterium_prausnitzii_62201 ZDA ZDB FALSE
Guyana_massiliensis_60772 XAA XAC FALSE
Guyana_massiliensis_60772 XEA XEB FALSE
Guyana_massiliensis_60772 XFA XFB FALSE
Guyana_massiliensis_60772 XGA XGB FALSE
Guyana_massiliensis_60772 XGA XGC FALSE
Guyana_massiliensis_60772 XGB XGC FALSE
Guyana_massiliensis_60772 XHA XHC FALSE
Guyana_massiliensis_60772 XMA XMB FALSE
Guyana_massiliensis_60772 XNA XNB FALSE
Guyana_massiliensis_60772 XRA XRB FALSE
Guyana_massiliensis_60772 XUA XUB TRUE
Guyana_massiliensis_60772 XVA XVB FALSE
Guyana_massiliensis_60772 YAC YAD FALSE
Guyana_massiliensis_60772 YBA YBB FALSE
Guyana_massiliensis_60772 YBA YBC FALSE
Guyana_massiliensis_60772 YBB YBC FALSE
