species_id subject1 strainSharedAnyTimepoint strainSharedPreAbx strainSharedPostAbx strainSharedMain strainSharedFollowup strainSharedPostAbxFollowup
Bacteroides_cellulosilyticus_58046 XFA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_cellulosilyticus_58046 XFB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_cellulosilyticus_58046 XGA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_cellulosilyticus_58046 XGC TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_cellulosilyticus_58046 XOA FALSE FALSE NA FALSE NA NA
Bacteroides_cellulosilyticus_58046 XOB FALSE FALSE NA FALSE NA NA
Bacteroides_cellulosilyticus_58046 XPA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_cellulosilyticus_58046 XPB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_cellulosilyticus_58046 YBA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_cellulosilyticus_58046 YBC TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_cellulosilyticus_58046 ZEA FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_cellulosilyticus_58046 ZEC FALSE FALSE FALSE FALSE NA FALSE
Bacteroides_clarus_62282 XDA TRUE NA NA NA TRUE TRUE
Bacteroides_clarus_62282 XDB TRUE NA NA NA TRUE TRUE
Bacteroides_clarus_62282 XMA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_clarus_62282 XMB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_eggerthii_54457 XHA FALSE FALSE NA FALSE NA NA
Bacteroides_eggerthii_54457 XHC FALSE FALSE NA FALSE NA NA
Bacteroides_eggerthii_54457 ZDA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_eggerthii_54457 ZDB FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_faecis_58503 XBA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_faecis_58503 XBB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_faecis_58503 XCA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_faecis_58503 XCB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_faecis_58503 YBA TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_faecis_58503 YBC TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_finegoldii_57739 XGA FALSE FALSE FALSE FALSE FALSE FALSE
Bacteroides_finegoldii_57739 XGB TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_finegoldii_57739 XGC TRUE TRUE TRUE TRUE TRUE TRUE
Bacteroides_finegoldii_57739 XHA FALSE FALSE NA FALSE NA NA
Bacteroides_finegoldii_57739 XHB FALSE FALSE NA FALSE NA NA
Bacteroides_finegoldii_57739 XIB FALSE NA NA NA FALSE FALSE
Bacteroides_finegoldii_57739 XIC FALSE NA NA NA FALSE FALSE
Bacteroides_finegoldii_57739 XNA TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_finegoldii_57739 XNB TRUE TRUE TRUE TRUE NA TRUE
Bacteroides_finegoldii_57739 XQA TRUE TRUE TRUE TRUE TRUE TRUE
