species_id sample1 strainSharedAnyTimepoint
Alistipes_onderdonkii_55464 XGA-029 TRUE
Alistipes_onderdonkii_55464 XGA-030 TRUE
Alistipes_onderdonkii_55464 XGA-031 TRUE
Alistipes_onderdonkii_55464 XGA-032 TRUE
Alistipes_onderdonkii_55464 XGA-035 TRUE
Alistipes_onderdonkii_55464 XGA-036 TRUE
Alistipes_onderdonkii_55464 XGA-037 TRUE
Alistipes_onderdonkii_55464 XGA-038 TRUE
Alistipes_onderdonkii_55464 XGA-039 TRUE
Alistipes_onderdonkii_55464 XGA-040 TRUE
Alistipes_onderdonkii_55464 XGA-044 TRUE
Alistipes_onderdonkii_55464 XGA-050 TRUE
Alistipes_onderdonkii_55464 XGA-057 TRUE
Alistipes_onderdonkii_55464 XGA-064 TRUE
Alistipes_onderdonkii_55464 XGA-252 TRUE
Alistipes_onderdonkii_55464 XGA-364 TRUE
Alistipes_onderdonkii_55464 XGA-428 TRUE
Alistipes_onderdonkii_55464 XGB-001 TRUE
Alistipes_onderdonkii_55464 XGB-029 TRUE
Alistipes_onderdonkii_55464 XGB-036 TRUE
Alistipes_onderdonkii_55464 XGB-064 TRUE
Alistipes_onderdonkii_55464 XGB-252 TRUE
Alistipes_onderdonkii_55464 XGB-365 TRUE
Alistipes_onderdonkii_55464 XGB-428 TRUE
Alistipes_onderdonkii_55464 XGC-001 FALSE
Alistipes_onderdonkii_55464 XGC-029 FALSE
Alistipes_onderdonkii_55464 XGC-037 FALSE
Alistipes_onderdonkii_55464 XGC-064 FALSE
Alistipes_onderdonkii_55464 XGC-252 FALSE
Alistipes_onderdonkii_55464 XGC-364 FALSE
Alistipes_onderdonkii_55464 XGC-428 FALSE
Alistipes_onderdonkii_55464 XHA-003 FALSE
Alistipes_onderdonkii_55464 XHA-029 FALSE
Alistipes_onderdonkii_55464 XHA-036 FALSE
Alistipes_onderdonkii_55464 XHA-064 FALSE
Alistipes_onderdonkii_55464 XHB-036 FALSE
Alistipes_onderdonkii_55464 XHB-064 FALSE
Alistipes_onderdonkii_55464 XIB-259 FALSE
Alistipes_onderdonkii_55464 XIB-277 FALSE
Alistipes_onderdonkii_55464 XIC-029 FALSE
Alistipes_onderdonkii_55464 XIC-036 FALSE
Alistipes_onderdonkii_55464 XIC-057 FALSE
Alistipes_onderdonkii_55464 XIC-064 FALSE
Alistipes_onderdonkii_55464 XIC-198 FALSE
Alistipes_onderdonkii_55464 XLA-023 TRUE
Alistipes_onderdonkii_55464 XLA-026 TRUE
Alistipes_onderdonkii_55464 XLA-029 TRUE
Alistipes_onderdonkii_55464 XLA-031 TRUE
Alistipes_onderdonkii_55464 XLA-043 TRUE
Alistipes_onderdonkii_55464 XLA-064 TRUE
Alistipes_onderdonkii_55464 XLA-148 TRUE
Alistipes_onderdonkii_55464 XLB-001 TRUE
Alistipes_onderdonkii_55464 XLB-029 TRUE
Alistipes_onderdonkii_55464 XLB-036 TRUE
Alistipes_onderdonkii_55464 XLB-172 TRUE
Alistipes_onderdonkii_55464 XPA-002 FALSE
Alistipes_onderdonkii_55464 XPA-029 FALSE
Alistipes_onderdonkii_55464 XPA-030 FALSE
Alistipes_onderdonkii_55464 XPA-031 FALSE
Alistipes_onderdonkii_55464 XPA-036 FALSE
Alistipes_onderdonkii_55464 XPB-028 FALSE
Alistipes_onderdonkii_55464 YBA-004 TRUE
Alistipes_onderdonkii_55464 YBA-043 TRUE
Alistipes_onderdonkii_55464 YBA-260 TRUE
Alistipes_onderdonkii_55464 YBA-360 TRUE
Alistipes_onderdonkii_55464 YBA-435 TRUE
Alistipes_onderdonkii_55464 YBB-029 TRUE
Alistipes_onderdonkii_55464 YBB-050 TRUE
Alistipes_onderdonkii_55464 YBB-260 TRUE
Alistipes_onderdonkii_55464 YBB-360 TRUE
Alistipes_onderdonkii_55464 YBB-435 TRUE
Alistipes_onderdonkii_55464 YBC-001 FALSE
Alistipes_onderdonkii_55464 YBC-043 FALSE
Alistipes_onderdonkii_55464 YBC-260 FALSE
Alistipes_onderdonkii_55464 YBC-360 FALSE
Alistipes_onderdonkii_55464 YBC-435 FALSE
Alistipes_onderdonkii_55464 YEB-001 FALSE
Alistipes_onderdonkii_55464 YEB-002 FALSE
Alistipes_onderdonkii_55464 YEC-005 FALSE
Alistipes_onderdonkii_55464 ZCA-001 TRUE
Alistipes_onderdonkii_55464 ZCA-323 TRUE
Alistipes_onderdonkii_55464 ZCB-001 TRUE
Alistipes_onderdonkii_55464 ZCB-064 TRUE
Alistipes_onderdonkii_55464 ZCB-261 TRUE
Alistipes_onderdonkii_55464 ZCB-323 TRUE
Alistipes_onderdonkii_55464 ZDA-001 FALSE
Alistipes_onderdonkii_55464 ZDA-065 FALSE
Alistipes_onderdonkii_55464 ZDA-260 FALSE
Alistipes_onderdonkii_55464 ZDA-324 FALSE
Alistipes_onderdonkii_55464 ZDA-413 FALSE
Alistipes_onderdonkii_55464 ZDA-503 FALSE
Alistipes_onderdonkii_55464 ZDA-598 FALSE
Alistipes_onderdonkii_55464 ZDB-001 FALSE
Alistipes_onderdonkii_55464 ZDB-064 FALSE
Alistipes_onderdonkii_55464 ZDB-261 FALSE
Alistipes_onderdonkii_55464 ZDB-324 FALSE
Alistipes_onderdonkii_55464 ZDB-411 FALSE
Alistipes_onderdonkii_55464 ZDB-596 FALSE
Alistipes_onderdonkii_55464 ZEA-001 FALSE
Alistipes_onderdonkii_55464 ZEA-064 FALSE
Alistipes_onderdonkii_55464 ZEC-001 FALSE
Alistipes_onderdonkii_55464 ZEC-064 FALSE
Alistipes_putredinis_61533 XCA-001 FALSE
Alistipes_putredinis_61533 XCA-008 FALSE
Alistipes_putredinis_61533 XCA-015 FALSE
Alistipes_putredinis_61533 XCA-022 FALSE
Alistipes_putredinis_61533 XCA-023 FALSE
Alistipes_putredinis_61533 XCA-024 FALSE
Alistipes_putredinis_61533 XCA-025 FALSE
Alistipes_putredinis_61533 XCA-026 FALSE
Alistipes_putredinis_61533 XCA-027 FALSE
Alistipes_putredinis_61533 XCA-029 FALSE
Alistipes_putredinis_61533 XCA-030 FALSE
Alistipes_putredinis_61533 XCA-031 FALSE
Alistipes_putredinis_61533 XCB-001 FALSE
Alistipes_putredinis_61533 XCB-029 FALSE
Alistipes_putredinis_61533 XCB-036 FALSE
Alistipes_putredinis_61533 XCB-064 FALSE
Alistipes_putredinis_61533 XCB-258 FALSE
Alistipes_putredinis_61533 XCB-310 FALSE
Alistipes_putredinis_61533 XCB-410 FALSE
Alistipes_putredinis_61533 XCB-499 FALSE
Alistipes_putredinis_61533 XCB-604 FALSE
Alistipes_putredinis_61533 XCB-695 FALSE
Alistipes_putredinis_61533 XCB-804 FALSE
Alistipes_putredinis_61533 XDA-001 FALSE
Alistipes_putredinis_61533 XDA-008 FALSE
Alistipes_putredinis_61533 XDA-015 FALSE
Alistipes_putredinis_61533 XDA-022 FALSE
Alistipes_putredinis_61533 XDA-023 FALSE
Alistipes_putredinis_61533 XDA-024 FALSE
Alistipes_putredinis_61533 XDA-025 FALSE
Alistipes_putredinis_61533 XDA-026 FALSE
Alistipes_putredinis_61533 XDA-027 FALSE
Alistipes_putredinis_61533 XDA-028 FALSE
Alistipes_putredinis_61533 XDA-029 FALSE
Alistipes_putredinis_61533 XDA-030 FALSE
Alistipes_putredinis_61533 XDA-706 TRUE
Alistipes_putredinis_61533 XDA-816 TRUE
Alistipes_putredinis_61533 XDB-001 TRUE
Alistipes_putredinis_61533 XDB-029 TRUE
Alistipes_putredinis_61533 XDB-036 TRUE
Alistipes_putredinis_61533 XDB-064 TRUE
Alistipes_putredinis_61533 XDB-267 TRUE
Alistipes_putredinis_61533 XDB-330 TRUE
Alistipes_putredinis_61533 XDB-417 TRUE
Alistipes_putredinis_61533 XDB-458 TRUE
Alistipes_putredinis_61533 XDB-512 TRUE
Alistipes_putredinis_61533 XDB-553 TRUE
Alistipes_putredinis_61533 XDB-591 TRUE
Alistipes_putredinis_61533 XDB-706 TRUE
Alistipes_putredinis_61533 XDB-816 TRUE
Alistipes_putredinis_61533 XEA-001 FALSE
Alistipes_putredinis_61533 XEB-001 FALSE
Alistipes_putredinis_61533 XEB-029 FALSE
Alistipes_putredinis_61533 XEB-036 FALSE
Alistipes_putredinis_61533 XEB-064 FALSE
Alistipes_putredinis_61533 XFA-001 TRUE
Alistipes_putredinis_61533 XFA-008 TRUE
Alistipes_putredinis_61533 XFA-015 TRUE
Alistipes_putredinis_61533 XFA-022 TRUE
Alistipes_putredinis_61533 XFA-023 TRUE
Alistipes_putredinis_61533 XFA-024 TRUE
Alistipes_putredinis_61533 XFA-025 TRUE
Alistipes_putredinis_61533 XFA-026 TRUE
Alistipes_putredinis_61533 XFA-027 TRUE
Alistipes_putredinis_61533 XFA-028 TRUE
Alistipes_putredinis_61533 XFA-029 TRUE
Alistipes_putredinis_61533 XFA-044 TRUE
Alistipes_putredinis_61533 XFA-050 TRUE
Alistipes_putredinis_61533 XFA-057 TRUE
Alistipes_putredinis_61533 XFA-064 TRUE
Alistipes_putredinis_61533 XFA-242 TRUE
Alistipes_putredinis_61533 XFA-312 TRUE
Alistipes_putredinis_61533 XFB-001 TRUE
Alistipes_putredinis_61533 XFB-029 TRUE
Alistipes_putredinis_61533 XFB-036 TRUE
Alistipes_putredinis_61533 XFB-064 TRUE
Alistipes_putredinis_61533 XFB-242 TRUE
Alistipes_putredinis_61533 XFB-313 TRUE
Alistipes_putredinis_61533 XGA-001 TRUE
Alistipes_putredinis_61533 XGA-008 TRUE
Alistipes_putredinis_61533 XGA-015 TRUE
Alistipes_putredinis_61533 XGA-022 TRUE
Alistipes_putredinis_61533 XGA-023 TRUE
Alistipes_putredinis_61533 XGA-024 TRUE
Alistipes_putredinis_61533 XGA-025 TRUE
Alistipes_putredinis_61533 XGA-026 TRUE
Alistipes_putredinis_61533 XGA-027 TRUE
Alistipes_putredinis_61533 XGA-028 TRUE
